id	isolate	aliases	country	continent	region	state	species	year	source	detailed_source	collector	location	comments	bioproject_accession	biosample_accession	NCBI_assembly_accession	run_accession	sender	curator	date_entered	datestamp	BORR05565	clpA	clpX	nifS	pepX	pyrG	recG	rplB	uvrA	ST (MLST)
135	PoTiBGr293		Portugal	Europe	Grandola		Borrelia lusitaniae	2003	tick	Ixodes ricinus								9	2	2015-01-29	2015-01-29		26	19	18	22	17	23	19	26	68
136	PoHL1		Portugal	Europe	Lisbon		Borrelia lusitaniae	2002	human									10	2	2015-01-29	2015-01-29		31	19	19	25	18	25	20	27	69
137	PoTiBL37		Portugal	Europe	Mafra		Borrelia lusitaniae	1999	tick	Ixodes ricinus								37	2	2015-01-29	2015-01-29		31	19	19	25	18	25	20	27	69
138	VS461	Ba_type strain	Switzerland	Europe			Borrelia afzelii		tick	Ixodes ricinus	O. Peter							6	2	2015-01-29	2015-01-29		35	23	22	28	20	27	22	28	70
139	PKo		Germany	Europe	Munich	Bavaria	Borrelia afzelii	1984	human	EM	B. Wilske		GenBank					2	2	2015-01-29	2015-01-29		36	24	23	29	20	28	23	29	71
140	IBS-11		France	Europe	Alsace		Borrelia afzelii		human	EM	B.Jaulhac							6	2	2015-01-29	2015-01-29		35	24	24	30	21	27	23	28	72
141	IBS-12		France	Europe	Alsace		Borrelia afzelii		human	EM	B.Jaulhac							6	2	2015-01-29	2015-01-29		37	24	24	31	22	29	23	29	73
142	IPT118		France	Europe	Auvergne		Borrelia afzelii		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		35	24	24	34	21	27	23	28	74
143	IBS-13		France	Europe	Alsace		Borrelia afzelii		human	ACA	B.Jaulhac							6	2	2015-01-29	2015-01-29		36	24	23	31	23	30	23	30	75
144	IPT154		France	Europe	Limousin		Borrelia afzelii		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		36	24	24	31	22	29	23	29	76
145	IPT109		France	Europe	Alsace		Borrelia afzelii		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		36	24	24	32	21	31	23	28	77
146	IPT122		France	Europe	Auvergne		Borrelia afzelii		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		36	24	24	32	21	31	23	28	77
147	IPT164		France	Europe	Auvergne		Borrelia afzelii		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		36	24	24	32	21	31	23	28	77
148	IPT179		France	Europe	Auvergne		Borrelia afzelii		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		36	24	24	32	21	31	23	28	77
149	IPT138		France	Europe	Alsace		Borrelia afzelii		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		36	24	23	32	25	32	23	29	78
150	IPT152		France	Europe	Limousin		Borrelia afzelii		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		36	24	23	32	21	27	23	28	79
151	IPT142		France	Europe	Alsace		Borrelia afzelii		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		39	24	23	35	26	33	23	29	80
152	IPT110		France	Europe	Alsace		Borrelia afzelii		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		38	24	25	33	24	29	24	28	81
153	20047	Bg_type strain	France	Europe			Borrelia garinii		tick	Ixodes ricinus	J. F. Anderson							6	1	2015-01-29	2024-03-05		40	25	26	36	27	34	25	31	82
154	IPT157		France	Europe	Limousin		Borrelia garinii		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		40	25	26	42	33	34	25	31	83
155	PBi	ospA serotype 4	Germany	Europe	Ingolstadt		Borrelia bavariensis		human	CSF, NB	B. Wilske		NB					11	-1	2015-01-29	2024-02-09		41	26	27	37	28	35	26	32	84
156	PFlK	ospA serotype 4	Germany	Europe	Munich		Borrelia bavariensis		human	CSF, NB, EM	B. Wilske		NB, EM					11	2	2015-01-29	2017-07-24		41	26	27	37	28	35	26	32	84
157	PRab	ospA serotype 4	Austria	Europe	Villach		Borrelia bavariensis	1994	human	synovia, arthritis			arthritis					11	2	2015-01-29	2017-07-24		41	26	27	37	28	35	26	32	84
158	PTrob	ospA serotype 4	Slovenia	Europe			Borrelia bavariensis	1988	human	skin	B. Wilske		symptoms unknown					11	2	2015-01-29	2017-07-24		41	26	28	37	28	35	26	32	85
159	POb	ospA serotype 4	Germany	Europe	Munich		Borrelia bavariensis	1993	human	skin, EM			EM					11	2	2015-01-29	2017-07-24		41	26	28	37	28	35	26	32	85
160	IPT28		France	Europe	Alsace		Borrelia garinii		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		42	27	29	38	29	36	27	33	86
161	IPT156		France	Europe	Auvergne		Borrelia garinii		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		42	27	29	38	29	36	27	33	86
162	IPT167		France	Europe	Limousin		Borrelia garinii		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		42	27	29	38	29	36	27	33	86
163	IPT168		France	Europe	Limousin		Borrelia garinii		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		42	27	29	38	29	36	27	33	86
164	IPT178		France	Europe	Auvergne		Borrelia garinii		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		42	27	29	38	29	36	27	33	86
165	IPT189		France	Europe	Normandie		Borrelia garinii		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		42	27	29	38	29	36	27	33	86
166	IPT140		France	Europe	Alsace		Borrelia garinii		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		42	27	29	38	29	39	27	33	87
167	IPT114		France	Europe	Alsace		Borrelia garinii		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		43	28	30	39	30	36	28	34	88
168	IPT158		France	Europe	Limousin		Borrelia garinii		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		43	28	30	39	30	36	28	34	88
169	IPT195		France	Europe	Normandie		Borrelia garinii		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		43	28	30	39	30	36	28	34	88
170	IPT130		France	Europe	Alsace		Borrelia garinii		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		44	29	31	40	31	37	29	35	89
171	IPT139		France	Europe	Alsace		Borrelia garinii		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		45	30	32	41	32	38	30	36	90
172	IPT165		France	Europe	Auvergne		Borrelia garinii		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		46	31	29	43	34	40	31	37	91
173	IPT169		France	Europe	Auvergne		Borrelia garinii		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		47	32	33	42	35	41	32	36	92
174	IPT171		France	Europe	Auvergne		Borrelia garinii		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		45	33	34	36	36	38	30	38	93
175	IPT172		France	Europe	Auvergne		Borrelia garinii		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		45	30	32	36	32	38	30	36	94
176	VS116	Bv_type strain	Switzerland	Europe			Borrelia valaisiana		tick	Ixodes ricinus	O. Peter							6	2	2015-01-29	2015-01-29		49	35	35	45	38	43	34	40	95
177	IPT29		France	Europe	Meuse		Borrelia valaisiana		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		49	35	35	45	38	43	35	40	96
178	IPT85		France	Europe	Alsace		Borrelia valaisiana		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		49	35	35	45	38	43	35	40	96
179	IPT102		France	Europe	Auvergne		Borrelia valaisiana		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		49	35	35	45	38	43	35	40	96
180	IPT163		France	Europe	Auvergne		Borrelia valaisiana		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		49	35	35	45	38	43	35	40	96
181	IPT174		France	Europe	Auvergne		Borrelia valaisiana		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		49	35	35	45	38	43	35	40	96
182	IPT31		France	Europe	Meuse		Borrelia valaisiana		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		50	36	36	45	38	44	35	40	97
183	IPT177		France	Europe	Limousin		Borrelia valaisiana		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		50	36	36	45	38	44	35	40	97
184	IPT188		France	Europe	Normandie		Borrelia valaisiana		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		50	36	36	45	38	44	35	40	97
185	IPT33		France	Europe	Meuse		Borrelia valaisiana		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		49	35	35	46	38	43	35	40	98
186	IPT111		France	Europe	Alsace		Borrelia valaisiana		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		49	35	35	46	38	43	35	40	98
187	IPT47		France	Europe	Alsace		Borrelia valaisiana		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		49	37	37	45	39	45	36	40	99
188	IPT121		France	Europe	Alsace		Borrelia valaisiana		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		50	38	36	45	38	44	35	40	100
189	IPT144		France	Europe	Limousin		Borrelia valaisiana		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		49	35	35	45	38	43	35	40	96
190	IPT184		France	Europe	Limousin		Borrelia valaisiana		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		50	39	36	45	38	44	35	40	102
191	IPT187		France	Europe	Limousin		Borrelia valaisiana		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		50	39	36	45	38	44	35	40	102
192	IPT186		France	Europe	Limousin		Borrelia valaisiana		tick	Ixodes ricinus	CNR Borrelia							6	2	2015-01-29	2015-01-29		49	36	36	45	38	44	35	40	103
193	MDH1		China	Asia	Mianduhe		Borrelia garinii		tick	Ixodes persulcatus		49.65, 121.11						12	2	2015-01-29	2015-01-29		64	49	48	58	27	53	45	48	115
194	MDH2		China	Asia	Mianduhe		Borrelia garinii		tick	Ixodes persulcatus		49.65, 121.1833						12	2	2015-01-29	2015-01-29		65	50	49	59	54	54	46	49	134
195	MDH3		China	Asia	Mianduhe		Borrelia garinii		tick	Ixodes persulcatus		49.65, 121.1833						12	2	2015-01-29	2015-01-29		66	46	50	69	55	54	42	50	135
196	NMK2		China	Asia	Keyihe		Borrelia bavariensis		tick	Ixodes persulcatus		50.15, 121.1666						12	2	2015-01-29	2015-01-29		69	53	43	62	58	57	49	53	137
197	NMK3		China	Asia	Keyihe		Borrelia bavariensis		tick	Ixodes persulcatus		50.15, 121.1666						12	2	2015-01-29	2015-01-29		56	42	41	51	47	46	38	42	128
198	NMK6		China	Asia	Keyihe		Borrelia bavariensis		tick	Ixodes persulcatus		50.15, 121.1666						12	2	2015-01-29	2015-01-29		70	54	53	63	59	58	50	54	138
199	NMS2		China	Asia	Muer Daoga		Borrelia bavariensis		tick	Ixodes persulcatus		52.333, 120.8						12	2	2015-01-29	2015-01-29		72	55	54	64	60	59	52	55	139
200	NMS3		China	Asia	Muer Daoga		Borrelia bavariensis		tick	Ixodes persulcatus		52.333, 120.8						12	2	2015-01-29	2015-01-29		73	47	55	56	52	60	43	47	140
201	JW1		China	Asia	Jiwen		Borrelia bavariensis		tick	Ixodes persulcatus		50.333, 122.3						12	2	2015-01-29	2015-01-29		60	45	44	54	50	49	41	45	131
202	JW3		China	Asia	Jiwen		Borrelia bavariensis		tick	Ixodes persulcatus		50.333, 122.3						12	2	2015-01-29	2015-01-29		62	47	46	56	52	51	43	47	157
203	VH1		China	Asia	Weihe, Heilongjiang		Borrelia bavariensis		tick	Ixodes persulcatus		44.5833, 128.2166						12	2	2015-01-29	2015-01-29		85	63	43	76	71	70	64	67	117
204	VH2		China	Asia	Weihe, Heilongjiang		Borrelia bavariensis		tick	Ixodes persulcatus		44.5833, 128.2166						12	2	2015-01-29	2015-01-29		86	64	62	77	72	57	65	68	118
205	VH3		China	Asia	Weihe, Heilongjiang		Borrelia bavariensis		tick	Ixodes persulcatus		44.5833, 128.2166						12	2	2015-01-29	2015-01-29		87	65	52	69	73	57	66	69	119
206	VH4		China	Asia	Weihe, Heilongjiang		Borrelia garinii		tick	Ixodes persulcatus		44.5833, 128.2166						12	2	2015-01-29	2015-01-29		88	43	42	52	48	47	39	43	120
207	VH11		China	Asia	Weihe, Heilongjiang		Borrelia bavariensis		tick	Ixodes persulcatus		44.5833, 128.2166						12	2	2015-01-29	2015-01-29		60	45	64	54	50	46	41	45	122
208	VH18		China	Asia	Weihe, Heilongjiang		Borrelia bavariensis		tick	Ixodes persulcatus		44.5833, 128.2166						12	2	2015-01-29	2015-01-29		87	65	52	79	75	57	66	69	123
209	VH19		China	Asia	Weihe, Heilongjiang		Borrelia bavariensis		tick	Ixodes persulcatus		44.5833, 128.2166						12	2	2015-01-29	2015-01-29		90	67	65	80	76	72	68	71	124
210	VH20		China	Asia	Weihe, Heilongjiang		Borrelia bavariensis		tick	Ixodes persulcatus		44.5833, 128.2166						12	2	2015-01-29	2015-01-29		72	68	66	64	60	59	52	55	125
211	VL2		China	Asia	Hunchun, Jilin		Borrelia garinii		tick	Ixodes persulcatus		42.75, 130.5833						12	2	2015-01-29	2015-01-29		108	46	67	60	55	54	42	72	126
212	JL2		China	Asia	Hunchun, Jilin		Borrelia garinii		tick	Ixodes persulcatus		42.75, 130.5833						12	2	2015-01-29	2015-01-29		58	43	42	52	48	47	39	43	127
213	ALH1		China	Asia	Alihe		Borrelia bavariensis		tick	Ixodes persulcatus		50.75, 122.1833						12	2	2015-01-29	2015-01-29		56	42	41	51	47	46	38	42	128
214	JLHCH		China	Asia	Hunchun, Jilin		Borrelia bavariensis		tick	Ixodes persulcatus		42.75, 130.5833						12	2	2015-01-29	2015-01-29		59	44	43	53	49	48	40	44	129
215	TP		China	Asia	Muer Daoga		Borrelia bavariensis		tick	Ixodes persulcatus		52.333, 120.8						12	2	2015-01-29	2015-01-29		56	42	41	51	47	46	38	42	128
216	HQ		China	Asia	Muer Daoga		Borrelia bavariensis		tick	Ixodes persulcatus		52.333, 120.8						12	2	2015-01-29	2015-01-29		57	42	41	51	47	46	38	42	130
217	J1		China	Asia	Huangshan, Anhui		Borrelia bavariensis		tick	Ixodes persulcatus		30.0166, 118.01666						12	2	2015-01-29	2015-01-29		56	42	41	51	47	46	38	42	128
218	N161		China	Asia	Keyihe		Borrelia garinii		tick	Ixodes persulcatus		50.15, 121.1666						12	2	2015-01-29	2015-01-29		67	51	51	61	56	55	47	51	154
219	N672		China	Asia	Muer Daoga		Borrelia garinii		tick	Ixodes persulcatus		52.333, 120.8						12	2	2015-01-29	2015-01-29		67	51	51	61	56	55	47	51	154
220	XY1		China	Asia	Yili, Xinjiang		Borrelia afzelii		tick	Ixodes persulcatus		43.9833, 81.2						12	1	2015-01-29	2022-05-17		51	24	39	85	22	29	24	29	105
221	A83		China	Asia	Keyihe		Borrelia afzelii		tick	Ixodes persulcatus		50.15, 121.1666						12	2	2015-01-29	2015-01-29		35	40	23	48	41	27	37	28	109
222	A118		China	Asia	Keyihe		Borrelia afzelii		tick	Ixodes persulcatus		50.15, 121.1666						12	2	2015-01-29	2015-01-29		35	40	23	49	42	27	23	28	110
223	A125		China	Asia	Keyihe		Borrelia afzelii		tick	Ixodes persulcatus		50.15, 121.1666						12	2	2015-01-29	2015-01-29		52	41	40	32	43	27	23	28	155
224	A131		China	Asia	Keyihe		Borrelia afzelii		tick	Ixodes persulcatus		50.15, 121.1666						12	2	2015-01-29	2015-01-29		53	41	23	49	44	27	23	41	112
225	A146		China	Asia	Keyihe		Borrelia afzelii		tick	Ixodes persulcatus		50.15, 121.1666						12	2	2015-01-29	2015-01-29		54	24	23	49	45	27	23	28	113
226	A240		China	Asia	Mianduhe		Borrelia afzelii		tick	Ixodes persulcatus		49.65, 121.1833						12	2	2015-01-29	2015-01-29		35	24	23	49	46	27	23	28	107
227	A280		China	Asia	Mianduhe		Borrelia afzelii		tick	Ixodes persulatus		49.65, 121.1833						12	2	2015-01-29	2015-01-29		36	41	23	49	43	27	23	28	108
228	A287		China	Asia	Mianduhe		Borrelia afzelii		tick	Ixodes persulcatus		49.65, 121.1833						12	2	2015-01-29	2015-01-29		55	24	23	49	44	27	23	28	114
229	A607		China	Asia	Muer Daoga		Borrelia afzelii		tick	Ixodes persulcatus		52.333, 120.8						12	2	2015-01-29	2015-01-29		35	40	23	48	41	27	23	28	111
230	A1223		China	Asia	Jiwen		Borrelia afzelii		tick	Ixodes persulcatus		50.333, 122.3						12	2	2015-01-29	2015-01-29		36	41	23	49	43	27	23	28	108
231	VH6		China	Asia	Weihe, Heilongjiang		Borrelia afzelii		tick	Ixodes persulcatus		44.5833, 128.2166						12	2	2015-01-29	2015-01-29		35	24	23	49	44	27	23	28	106
232	VH7		China	Asia	Weihe, Heilongjiang		Borrelia afzelii		tick	Ixodes persulcatus		44.5833, 128.2166						12	2	2015-01-29	2015-01-29		35	24	23	49	44	27	23	28	106
233	VH8		China	Asia	Weihe, Heilongjiang		Borrelia afzelii		tick	Ixodes persulcatus		44.5833, 128.2166						12	2	2015-01-29	2015-01-29		36	41	23	49	43	27	23	28	108
234	JX1		China	Asia	Hunchun, Jilin		Borrelia afzelii		tick	Ixodes persulcatus		42.75, 130.5833						12	2	2015-01-29	2015-01-29		63	48	47	57	53	52	44	28	133
235	R5		China	Asia	Jinhua, Zhejiang		Borrelia yangtzensis		animal host	Apodemus agrarius		28.85, 119.95						12	2	2015-01-29	2015-01-29		83	61	59	74	69	63	62	65	152
236	QTDSP3		China	Asia	Lipo, Guizhou		Borrelia yangtzensis		tick	Ixodes granulatus		25.4666, 108.05						12	2	2015-01-29	2015-01-29		78	59	59	68	64	67	57	62	142
237	QTDM2		China	Asia	Lipo, Guizhou		Borrelia yangtzensis		animal host	Niviventer fulvescens		25.4666, 108.05						12	2	2015-01-29	2015-01-29		80	58	56	71	66	66	59	61	147
238	QTMP2		China	Asia	Lipo, Guizhou		Borrelia yangtzensis		tick	Ixodes granulatus		25.4666, 108.05						12	2	2015-01-29	2015-01-29		78	59	59	68	64	67	57	62	142
239	QSYSP3		China	Asia	Lipo, Guizhou		Borrelia yangtzensis		tick	Haemaphysalis longicornis		25.4666, 108.05						12	2	2015-01-29	2015-01-29		78	59	59	68	64	64	57	59	145
240	QLZSP1		China	Asia	Lipo, Guizhou		Borrelia yangtzensis		tick	Ixodes granulatus		25.4666, 108.05						12	2	2015-01-29	2015-01-29		76	57	57	68	63	63	55	57	143
241	QX-S13		China	Asia	Lipo, Guizhou		Borrelia yangtzensis		animal host	rodent		25.4666, 108.05						12	2	2015-01-29	2015-01-29		82	61	60	73	68	68	61	64	149
242	QLT1P2		China	Asia	Lipo, Guizhou		Borrelia yangtzensis		animal host	rodent		25.4666, 108.05						12	2	2015-01-29	2015-01-29		76	57	57	67	63	63	55	57	150
243	QLM4P1		China	Asia	Lipo, Guizhou		Borrelia yangtzensis		animal host	rodent		25.4666, 108.05						12	2	2015-01-29	2015-01-29		76	57	57	67	63	63	55	57	150
244	QL12P15		China	Asia	Lipo, Guizhou		Borrelia yangtzensis		animal host	rodent		25.4666, 108.05						12	2	2015-01-29	2015-01-29		75	57	57	66	62	62	54	57	151
245	166/12a		Serbia	Europe	Western Serbia-Pozega		Borrelia afzelii	2012	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	43.844965, 20.035437						30	2	2015-03-16	2015-03-16		38	24	25	32	90	50	24	28	146
246	NT29		Japan	Asia			Borrelia bavariensis		tick	Ixodes persulcatus								2	2	2015-01-29	2015-01-29		60	45	44	54	50	49	41	45	131
247	160/13e		Serbia	Europe	Belgrade area-Kosutnjak		Borrelia bavariensis	2013	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	44.752399, 20.437684						30	2	2015-03-16	2015-03-16		41	26	28	37	28	35	26	32	85
248	230/13c		Serbia	Europe	Belgrade area-Kosutnjak		Borrelia afzelii	2013	tick	Ixodes ricinus	S. Tomanovic/S. Cakic	44.752399, 20.437684						30	2	2015-03-16	2015-03-16		38	24	25	32	163	29	24	28	474
249	PotiB2		Portugal	Europe			Borrelia lusitaniae		tick	Ixodes ricinus								12	2	2015-01-29	2015-01-29		29	19	18	23	14	24	15	22	456
250	61527BT		UK [England]	Europe			Borrelia afzelii	2006	tick	Ixodes ricinus		51.375717, -2.33625						2	2	2015-01-29	2015-01-29		35	24	24	32	21	27	23	28	164
251	6311BT		UK [England]	Europe			Borrelia afzelii	2006	tick	Ixodes ricinus		51.375717, -2.33625						2	2	2015-01-29	2015-01-29		35	24	24	32	21	27	23	28	164
252	6515BT		UK [England]	Europe			Borrelia afzelii	2006	tick	Ixodes ricinus		51.375717, -2.33625						2	2	2015-01-29	2015-01-29		35	24	24	32	21	27	23	28	164
253	71980B		UK [England]	Europe			Borrelia afzelii	2007	tick	Ixodes ricinus		51.375717, -2.33625						2	2	2015-01-29	2015-01-29		35	24	24	32	21	27	23	28	164
254	71086B		UK [England]	Europe			Borrelia afzelii	2007	tick	Ixodes ricinus		51.375717, -2.33625						2	2	2015-01-29	2015-01-29		35	24	24	32	21	27	23	28	164
255	74486B		UK [England]	Europe			Borrelia afzelii	2007	tick	Ixodes ricinus		51.375717, -2.33625						2	2	2015-01-29	2015-01-29		35	24	24	32	21	27	23	28	164
256	74586B		UK [England]	Europe			Borrelia afzelii	2007	tick	Ixodes ricinus		51.375717, -2.33625						2	2	2015-01-29	2015-01-29		35	24	24	32	21	27	23	28	164
257	76694B		UK [England]	Europe			Borrelia afzelii	2007	tick	Ixodes ricinus		51.375717, -2.33625						2	2	2015-01-29	2015-01-29		35	24	24	32	21	27	23	28	164
258	77680B		UK [England]	Europe			Borrelia afzelii	2007	tick	Ixodes ricinus		51.375717, -2.33625						2	2	2015-01-29	2015-01-29		35	24	24	32	21	27	23	28	164
259	78094B		UK [England]	Europe			Borrelia afzelii	2007	tick	Ixodes ricinus		51.375717, -2.33625						2	2	2015-01-29	2015-01-29		35	24	24	32	21	27	23	28	164
260	79080B		UK [England]	Europe			Borrelia afzelii	2007	tick	Ixodes ricinus		51.375717, -2.33625						2	2	2015-01-29	2015-01-29		35	24	24	32	21	27	23	28	164
261	71186B		UK [England]	Europe			Borrelia afzelii	2007	tick	Ixodes ricinus		51.375717, -2.33625						2	2	2015-01-29	2015-01-29		35	24	24	32	21	27	23	28	164
